SHOP_YEAR,SHOP_YM,SHOP_MONTH_LD,LAST_SHOP_YM,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,ORDER_PER_MONTH,SPENDING_PER_MONTH,ROW_NO
2007,200701,2007-01-31,200612,CUST0000000181,MM,,1,2.44,1
2006,200604,2006-04-30,200603,CUST0000000369,MM,OA,3,20.64,1
2006,200605,2006-05-31,200604,CUST0000000369,MM,OA,9,52.850000000000009,2
2006,200606,2006-06-30,200605,CUST0000000369,MM,OA,9,42.61,3
2006,200607,2006-07-31,200606,CUST0000000369,MM,OA,12,97.72,4
2006,200608,2006-08-31,200607,CUST0000000369,MM,OA,9,31.14,5
2006,200609,2006-09-30,200608,CUST0000000369,MM,OA,16,47.23,6
2006,200610,2006-10-31,200609,CUST0000000369,MM,OA,11,35.929999999999993,7
2006,200611,2006-11-30,200610,CUST0000000369,MM,OA,12,56.669999999999995,8
2006,200612,2006-12-31,200611,CUST0000000369,MM,OA,13,29.37,9
2007,200701,2007-01-31,200612,CUST0000000369,MM,OA,8,26.21,10
2007,200702,2007-02-28,200701,CUST0000000369,MM,OA,6,38.62,11
2007,200703,2007-03-31,200702,CUST0000000369,MM,OA,5,15.49,12
2007,200704,2007-04-30,200703,CUST0000000369,MM,OA,12,27.88,13
2007,200705,2007-05-31,200704,CUST0000000369,MM,OA,8,43.85,14
2007,200706,2007-06-30,200705,CUST0000000369,MM,OA,1,5.8,15
2007,200707,2007-07-31,200706,CUST0000000369,MM,OA,9,79.88,16
2007,200708,2007-08-31,200707,CUST0000000369,MM,OA,5,11.64,17
2007,200709,2007-09-30,200708,CUST0000000369,MM,OA,10,57.800000000000004,18
2007,200710,2007-10-31,200709,CUST0000000369,MM,OA,7,16.26,19
2007,200711,2007-11-30,200710,CUST0000000369,MM,OA,8,33.19,20
2007,200712,2007-12-31,200711,CUST0000000369,MM,OA,5,20.619999999999997,21
2008,200801,2008-01-31,200712,CUST0000000369,MM,OA,6,23.330000000000002,22
2008,200802,2008-02-29,200801,CUST0000000369,MM,OA,4,13.670000000000002,23
2008,200803,2008-03-31,200802,CUST0000000369,MM,OA,6,32.81,24
2008,200804,2008-04-30,200803,CUST0000000369,MM,OA,8,34.85,25
2008,200805,2008-05-31,200804,CUST0000000369,MM,OA,9,28.61,26
2008,200806,2008-06-30,200805,CUST0000000369,MM,OA,7,26.879999999999995,27
2008,200807,2008-07-31,200806,CUST0000000369,MM,OA,2,7.7799999999999994,28
2007,200707,2007-07-31,200706,CUST0000000689,LA,,1,33.080000000000005,1
2007,200708,2007-08-31,200707,CUST0000000689,LA,,5,111.14,2
2007,200710,2007-10-31,200709,CUST0000000689,LA,,1,1.99,3
2007,200711,2007-11-30,200710,CUST0000000689,LA,,2,26.99,4
2007,200712,2007-12-31,200711,CUST0000000689,LA,,2,9.370000000000001,5
2008,200801,2008-01-31,200712,CUST0000000689,LA,,1,61.769999999999996,6
2008,200804,2008-04-30,200803,CUST0000000689,LA,,1,3.54,7
2008,200805,2008-05-31,200804,CUST0000000689,LA,,2,74.86,8
2008,200806,2008-06-30,200805,CUST0000000689,LA,,1,5.830000000000001,9
2006,200605,2006-05-31,200604,CUST0000000998,XX,,1,0.84,1
2006,200607,2006-07-31,200606,CUST0000000998,XX,,2,5.1099999999999994,2
2006,200610,2006-10-31,200609,CUST0000001163,MM,,1,17.12,1
